Vehicle Name,URL,Price,Mileage,Quality
2016 Nissan Altima 2.5,#listing=266316244_isFeatured,"$11,790","82,908 mi",FAIR DEAL
2015 Nissan Altima 2.5 S,#listing=265941558_isFeatured,"$7,851","113,902 mi",GOOD DEAL
2015 Nissan Altima 2.5 SV,#listing=265812935_isFeatured,"$11,148","82,908 mi",FAIR DEAL
2013 Nissan Altima 3.5 SL,#listing=262323839,"$8,997","61,257 mi",GREAT DEAL
2019 Nissan Altima 2.5 Platinum FWD,#listing=254038868_isFeatured,"$24,987","5,580 mi",FAIR DEAL
2016 Nissan Altima 2.5,#listing=265958074,"$12,500","40,988 mi",GOOD DEAL
2015 Nissan Altima 2.5 SL,#listing=263112151,"$12,395","59,859 mi",GOOD DEAL
2013 Nissan Altima 2.5 S,#listing=262598963,"$5,500","144,000 mi",GOOD DEAL
2018 Nissan Altima 2.5 SV,#listing=260963991,"$13,999","42,601 mi",GOOD DEAL
2015 Nissan Altima 2.5 S,#listing=265941558,"$7,851","113,902 mi",GOOD DEAL
2019 Nissan Altima 2.5 SR FWD,#listing=264759593,"$16,842","33,209 mi",GOOD DEAL
2013 Nissan Altima 2.5 S,#listing=261618370,"$5,500","157,825 mi",GOOD DEAL
2018 Nissan Altima 2.5 SV,#listing=260604076,"$14,065","41,046 mi",GOOD DEAL
2017 Nissan Altima 2.5 SV,#listing=263313913,"$15,500","17,298 mi",GOOD DEAL
2018 Nissan Altima 2.5 SV,#listing=260604074,"$13,998","43,371 mi",GOOD DEAL
2018 Nissan Altima 2.5 SV,#listing=249469904,"$13,830","49,943 mi",GOOD DEAL
2012 Nissan Altima 2.5 SL,#listing=265134451,"$7,488","78,639 mi",GOOD DEAL
2018 Nissan Altima 2.5 SV,#listing=261800712,"$14,477","39,281 mi",GOOD DEAL
2016 Nissan Altima 2.5 SV,#listing=258035480,"$10,995","90,486 mi",GOOD DEAL
2016 Nissan Altima 2.5 SL,#listing=263532886,"$17,500","5,169 mi",GOOD DEAL
